Country	SlowSpeed
AD	5251
AE	1922
AL	4541
AO	4678
AR	2949
AT	1493
AU	991
AZ	883
BA	3652
BD	8587
BE	1834
BG	4747
BH	3046
BJ	5185
BO	3577
BR	2522
BY	7503
CA	1135
CH	1445
CL	2222
CN	1970
CO	1307
CR	1265
CV	30942
CY	37375
CZ	1840
DE	1639
DK	2090
DO	5404
DZ	14644
EC	1920
EE	3244
EG	1910
ES	1999
EU	1641
FI	2588
FR	1361
GB	1589
GE	4561
GM	31136
GR	2322
GT	1068
HK	1416
HR	4289
HU	3095
ID	3343
IE	2093
IL	2734
IN	2005
IR	19550
IT	2356
JM	4067
JO	8944
JP	2436
KE	17695
KR	2081
KW	13873
KY	1706
KZ	14449
LA	20505
LB	9305
LK	2467
LT	1767
LU	6176
LV	3371
MA	5838
ML	63388
MM	6363
MN	37508
MO	10412
MQ	7543
MX	1183
MY	1439
MZ	21959
NG	1872
NL	1303
NO	2822
NP	18522
NZ	2520
PA	6045
PE	5162
PH	10324
PK	3871
PL	1741
PR	7620
PS	10187
PT	2123
PY	5018
QA	32537
RO	1574
RS	2932
RU	2744
SA	2541
SC	3868
SE	1707
SG	1301
SI	5618
SK	1825
SN	63302
SV	1865
TH	1496
TJ	63424
TN	13120
TR	3206
TW	2170
UA	2769
UG	59105
US	708
UY	10153
VE	4454
VN	2512
ZA	3296
ZM	17604
